Cost_scaling_factor_global,Update_frequency_global,Publish_frequency_global,Transform_tolerance_global,Combination_method_global,Cost_scaling_factor_local,Inflation_radius_local,Update_frequency_local,Publish_frequency_local,Combination_method_local,Transform_tolerance_local,Path_distance_bias,Goal_distance_bias,Occdist_scale,Stop_time_buffer,yaw_goal_tolerance,xy_goal_tolerance,min_vel_x,DWA_failed,DWA_new_plan,recovery_executed,Error_rotating_goal,RNS,Traveled_distance,Mission_time,Battery_percentage,Mission_success
10,4,3,0.5,1,10,1,4,3,1,1.14,0.75,3.47,0.1,0.2,0.1,0.2,0,159,162,4,0,0.6,10.04,82.09,90.48,0
10,4,3,0.5,1,10,1,4,3,1,2.29,0.75,4.37,0.1,0.2,0.1,0.2,0,82,86,2,0,0.8,12.37,61.62,91.65,0
10,4,3,0.5,1,10,1,4,3,1,1.14,0.75,3.47,0.1,0.2,0.1,0.2,0,159,162,4,0,0.6,10.04,82.09,90.48,0
10,4,3,0.5,1,10,1,4,3,1,2.29,0.75,4.37,0.1,0.2,0.1,0.2,0,82,86,2,0,0.8,12.37,61.62,91.65,0
10,4,3,0.5,1,10,1,4,3,1,1.14,0.75,3.47,0.1,0.2,0.1,0.2,0,159,162,4,0,0.6,10.04,82.09,90.48,0
10,4,3,0.5,1,10,1,4,3,1,2.29,0.75,4.37,0.1,0.2,0.1,0.2,0,82,86,2,0,0.8,12.37,61.62,91.65,0
10,4,3,0.5,1,10,1,4,3,1,1.14,0.75,3.47,0.1,0.2,0.1,0.2,0,159,162,4,0,0.6,10.04,82.09,90.48,0
10,4,3,0.5,1,10,1,4,3,1,2.29,0.75,4.37,0.1,0.2,0.1,0.2,0,82,86,2,0,0.8,12.37,61.62,91.65,0
10,4,3,0.5,1,10,1,4,3,1,1.14,0.75,3.47,0.1,0.2,0.1,0.2,0,159,162,4,0,0.6,10.04,82.09,90.48,0
10,4,3,0.5,1,10,1,4,3,1,2.29,0.75,4.37,0.1,0.2,0.1,0.2,0,82,86,2,0,0.8,12.37,61.62,91.65,0
13,5,1,0.81,1,20,4,6,2,1,1.34,0.73,1.14,0.05,0.13,0.3,0.13,-0.25,1,6,0,0,1,17.08,101.91,78.99,1
13,5,3,1.97,0,5,1,7,4,1,0.29,0.65,1.4,0.02,0.12,0.23,0.37,-0.25,0,5,0,0,1,14.23,45.99,91.51,1
6,6,3,1.9,1,4,3,6,1,0,1.26,0.76,1.42,0.03,0.27,0.25,0.32,-0.2,1,6,0,0,1,14.59,53.66,89.86,1
13,4,1,0.9,1,14,9,4,3,1,0.52,0.84,0.59,0.01,0.27,0.15,0.33,-0.08,0,5,0,0,1,14.28,44.28,91.94,1
3,7,4,1.36,1,17,2,7,3,1,1.23,0.93,0.9,0.05,0.12,0.15,0.25,-0.03,0,5,0,0,1,14.78,56.74,89.91,1
10,7,3,1.75,1,9,6,4,4,0,1.08,0.53,1.36,0.04,0.17,0.2,0.12,-0.22,0,5,0,0,1,15.69,68.25,86.68,1
6,7,3,0.33,0,5,6,7,3,0,0.81,0.31,1.18,0.04,0.11,0.1,0.2,-0.23,0,5,0,0,1,15.57,69.32,86.36,1
3,4,3,0.66,1,17,1,6,1,0,1.08,0.33,1.43,0.04,0.12,0.26,0.24,-0.21,0,5,0,0,1,14.97,58.77,88.67,1
14,4,2,0.76,1,15,4,7,2,1,1.58,0.99,0.99,0.02,0.13,0.17,0.27,-0.26,1,6,0,0,1,14.64,58.25,88.79,1
7,5,4,1.31,1,11,10,6,2,1,1.48,0.49,0.98,0.02,0.28,0.17,0.13,-0.23,0,5,0,0,1,14.48,54.55,89.99,1
3,4,1,1.27,0,2,7,4,2,1,1.1,0.38,0.79,0.03,0.23,0.26,0.18,-0.27,0,5,0,0,1,15.08,76.05,84.9,1
7,5,2,1.53,1,1,10,6,2,0,0.61,0.5,1.05,0.02,0.3,0.14,0.26,-0.12,1,6,0,0,1,14.36,45.76,91.65,1
