Cost_scaling_factor_global,Update_frequency_global,Publish_frequency_global,Transform_tolerance_global,Footprint_padding_global,Combination_method_global,Cost_scaling_factor_local,Inflation_radius_local,Update_frequency_local,Publish_frequency_local,Combination_method_local,Transform_tolerance_local,Footprint_padding_local,Path_distance_bias,Goal_distance_bias,Occdist_scale,Stop_time_buffer,yaw_goal_tolerance,xy_goal_tolerance,min_vel_x,DWA_failed,DWA_new_plan,DWA_invalid_trajectory,Rotate_recovery_executed,ClearCostMaps_unstuck_recovery_executed,ClearCostMaps_layer_recovery_executed,Invalid_rotation_cmd,Error_rotating_goal,2DRMS,DRMS,CPE,Euclidean_distance,RNS,Traveled_distance,Collisions,Mission_time,Battery_percentage,Mission_success
14,4,4,1.77,0.02,0,16,9,5,3,1,1.32,0.03,0.92,0.9,0.05,0.24,0.23,0.33,-0.05,81,164,80,4,4,0,80,80,4.7E-05,2.35E-05,1.46E-05,0.31,0.8,12.34,0,81.98,85.66,0
10,5,4,1.24,0.05,1,4,3,5,2,0,1.98,0.03,0.69,1.28,0.02,0.11,0.29,0.29,-0.08,0,5,0,0,0,0,0,0,5.75E-05,2.88E-05,1.78E-05,0.25,1,14.31,0,44.26,87.62,1
2,5,1,0.58,0.03,1,20,9,6,3,0,1.22,0.02,0.77,0.9,0.01,0.18,0.15,0.35,-0.09,82,165,80,4,4,0,80,80,5.86E-05,2.93E-05,1.81E-05,0.3,0.8,13.65,0,101.2,79.34,0
18,4,4,0.89,0.02,0,9,7,7,2,1,1.1,0.01,0.43,1.46,0.04,0.21,0.22,0.14,-0.11,3,9,1,0,0,0,1,1,2.71E-05,1.35E-05,8.06E-06,0.12,1,17.77,0,86.7,73.32,1
16,5,3,1.48,0.04,1,2,7,5,4,1,0.37,0.03,0.89,1.36,0.01,0.19,0.23,0.18,-0.21,91,174,80,4,4,0,80,80,3.84E-05,1.92E-05,1.16E-05,0.17,0.8,13.05,0,90.64,83.63,0
19,5,3,0.39,0.01,1,9,10,6,2,1,0.36,0.03,0.88,1.42,0.04,0.27,0.15,0.32,-0.14,0,5,0,0,0,0,0,0,4.59E-05,2.3E-05,1.39E-05,0.28,1,17.25,0,76.88,76.46,1
14,4,4,1.38,0.05,0,1,10,6,4,0,0.41,0.02,0.35,0.94,0.02,0.22,0.29,0.19,-0.27,81,85,0,2,2,0,0,0,3.26E-05,1.63E-05,1.06E-05,0.18,0.8,13.12,0,69.23,84.87,0
10,7,2,1.93,0.02,0,11,1,6,1,1,0.23,0.05,0.52,1.46,0.04,0.19,0.11,0.22,-0.21,4,87,79,2,2,0,79,79,3.26E-05,1.63E-05,9.87E-06,0.19,1,19.7,0,119.98,67.13,0
6,6,1,0.76,0.04,1,18,4,5,2,1,0.57,0.05,0.87,0.83,0.01,0.3,0.11,0.27,-0.26,80,84,0,2,2,0,0,0,3.31E-05,1.65E-05,1.03E-05,0.25,0.8,12.48,0,65.8,85.66,0
14,7,2,1.39,0.01,0,9,5,4,3,1,1.56,0.02,0.85,0.78,0.04,0.13,0.3,0.28,-0.17,8,13,2,4,4,0,2,2,4.03E-05,2.02E-05,1.21E-05,0.24,0.8,20.11,0,191.93,54,0
9,4,1,1.94,0.02,0,10,4,4,1,0,0.88,0.04,0.59,1.49,0.02,0.23,0.29,0.13,-0.02,0,5,0,0,0,0,0,0,5.09E-05,2.55E-05,2.07E-05,0.1,1,14.65,0,62.46,0,1
15,6,3,1.81,0.04,1,9,7,5,4,1,1.61,0.01,0.43,1.3,0.01,0.3,0.11,0.19,-0.28,0,5,0,0,0,0,0,0,2.7E-05,1.35E-05,8.31E-06,0.17,1,14.64,0,53.63,84.73,1
18,5,4,1.07,0.02,0,6,8,7,1,1,0.33,0.03,0.8,0.83,0.02,0.25,0.19,0.28,-0.02,2,7,0,0,0,0,0,0,6.62E-05,3.31E-05,2.02E-05,0.24,1,14.34,0,46.75,86.78,1
18,5,4,1.51,0.02,1,10,4,5,4,0,1.57,0.03,0.95,1.33,0.02,0.19,0.25,0.38,-0.1,2,7,0,0,0,0,0,0,6.04E-05,3.02E-05,1.97E-05,0.35,1,14.59,0,47.64,86.48,1
16,4,2,1.29,0.02,1,9,5,4,1,0,0.37,0.05,0.24,0.82,0.02,0.16,0.21,0.38,-0.25,94,97,0,4,4,0,0,0,2.53E-05,1.27E-05,7.79E-06,0.36,0.6,12.9,0,104.12,81.71,0
9,7,1,0.96,0.05,0,2,7,4,2,0,1.11,0.02,0.2,0.73,0.01,0.28,0.14,0.14,-0.2,0,5,0,0,0,0,0,0,4.31E-05,2.15E-05,1.47E-05,0.12,1,14.77,0,53.93,84.29,1
9,6,2,1.26,0.02,0,7,6,6,1,1,0.78,0.03,0.61,0.61,0.04,0.13,0.29,0.16,-0.09,3,8,0,0,0,0,0,0,4.79E-05,2.39E-05,1.87E-05,0.15,1,17.61,0,154.97,49.66,1
9,7,2,1.55,0.02,1,17,8,6,3,0,0.23,0.02,0.71,0.77,0.02,0.13,0.13,0.2,-0.15,91,95,0,2,2,0,0,0,5.52E-05,2.76E-05,1.67E-05,0.18,0.8,16.22,0,104.45,72.99,0
19,6,2,0.78,0.02,1,5,8,4,2,0,1.21,0.02,0.44,1.02,0.02,0.24,0.25,0.35,-0.23,0,5,0,0,0,0,0,0,2.96E-05,1.48E-05,9.24E-06,0.32,1,14.26,0,46.7,86.7,1
18,6,4,0.98,0.01,1,7,8,7,2,0,1.92,0.03,0.39,0.61,0.01,0.26,0.17,0.13,-0.15,2,7,0,0,0,0,0,0,2.42E-05,1.21E-05,8.97E-06,0.09,1,15.18,0,61.83,81.63,1
18,7,4,0.83,0.04,0,2,2,4,3,0,0.32,0.02,0.64,0.63,0.05,0.26,0.12,0.14,-0.29,90,172,80,6,6,0,80,80,1.18E-05,5.89E-06,4.9E-06,0.13,0.6,19.2,0,208.32,50.94,0
8,6,2,1.17,0.04,0,20,6,7,3,1,1.63,0.04,0.6,1.11,0.02,0.21,0.2,0.28,-0.07,80,84,0,2,2,0,0,0,6.09E-05,3.04E-05,1.9E-05,0.24,0.8,11.78,0,61.18,87.23,0
1,7,1,1.51,0.04,1,16,4,7,4,1,0.96,0.04,0.11,0.66,0.05,0.14,0.27,0.18,-0.28,9,12,0,4,4,0,0,0,2.68E-05,1.34E-05,8.07E-06,0.17,0.6,27.73,0,324.02,9.54,0
10,7,4,1.71,0.03,1,16,5,7,1,1,1.59,0.04,0.91,1.27,0.05,0.16,0.27,0.13,-0.01,81,164,80,4,4,0,80,80,4.62E-05,2.31E-05,1.73E-05,0.08,0.8,12.73,0,118.93,72.99,0
8,6,3,0.79,0.01,0,12,9,7,3,0,0.3,0.01,0.43,1.5,0.04,0.18,0.29,0.17,-0.14,1,6,0,0,0,0,0,0,3.51E-05,1.75E-05,1.14E-05,0.13,1,17.1,0,81.38,74.83,1
6,6,4,0.86,0.01,1,13,10,4,3,1,1.31,0.03,0.97,0.83,0.04,0.27,0.18,0.21,-0.06,81,85,0,2,2,0,0,0,4.61E-05,2.3E-05,1.51E-05,0.16,0.8,12.93,0,66.9,85.66,0
11,5,4,0.38,0.02,1,16,3,5,4,1,1.54,0.04,0.22,0.91,0.02,0.23,0.24,0.26,-0.03,0,5,0,0,0,0,0,0,5.8E-05,2.9E-05,2.1E-05,0.21,1,14.45,0,49.29,85.91,1
20,5,1,0.74,0.02,1,1,8,7,2,1,1.36,0.04,0.74,0.89,0.03,0.2,0.24,0.34,-0.06,1,6,0,0,0,0,0,0,6.1E-05,3.05E-05,1.88E-05,0.3,1,14.35,0,52.46,84.79,1
