Cost_scaling_factor_global,Update_frequency_global,Publish_frequency_global,Transform_tolerance_global,Combination_method_global,Cost_scaling_factor_local,Inflation_radius_local,Update_frequency_local,Publish_frequency_local,Combination_method_local,Transform_tolerance_local,Path_distance_bias,Goal_distance_bias,Occdist_scale,Stop_time_buffer,yaw_goal_tolerance,xy_goal_tolerance,min_vel_x,DWA_failed,DWA_new_plan,recovery_executed,Error_rotating_goal,RNS,Traveled_distance,Mission_time,Battery_percentage,Mission_success
29,10,8,3.37,0,11,0.7,19,18,1,2.9,43.69,29.77,0.29,0.05,0.18,0.08,-0.23,10,979,4,310,0.6,15.21,178.1,77.75,0
18,15,11,0.92,0,20,0.45,6,3,1,3.6,24.15,14.59,0.28,0.08,0.09,0.14,-0.19,0,735,1,22,1,15.28,163.12,76.37,1
27,4,14,0.91,1,18,0.23,14,7,0,4.18,17.89,25.98,0.11,0.03,0.16,0.1,-0.07,772,795,10,0,0,0.97,95.86,95.5,0
30,6,10,1.24,1,30,0.76,12,7,1,1.14,19.23,19.5,0.12,0.08,0.28,0.05,-0.06,782,807,10,0,0,1.02,97.2,95.5,0
8,14,13,4.63,0,12,0.5,7,3,0,1.9,37.14,39.48,0.23,0.08,0.3,0.06,-0.26,0,1052,5,154,0.6,18.58,228.17,68,0
27,4,20,2.26,0,28,0.94,10,5,0,1.98,25.08,34.78,0.11,0.04,0.13,0.04,-0.19,23,808,2,155,0.8,14.57,156.96,79.33,0
5,19,3,1.01,1,27,0.91,9,10,1,0.89,25.54,34.43,0.06,0.01,0.19,0.17,-0.1,925,969,11,0,0,1.51,116.44,94.32,0
24,16,2,1.15,0,21,0.55,10,2,0,4.45,32.99,27.41,0.11,0.04,0.24,0.09,-0.24,3,618,2,155,0.8,12.11,120.02,84.65,0
10,15,19,2.29,1,25,0.99,12,17,0,4.13,27.14,14.89,0.19,0.02,0.11,0.17,-0.21,0,353,0,0,1,10.05,81.55,88.8,1
4,5,12,4.64,1,5,0.79,16,12,0,3.08,9.98,13.79,0.16,0.06,0.21,0.05,-0.13,3,721,2,154,0.8,12.75,140.41,81.3,0
26,8,14,3.66,1,30,0.63,4,2,0,3.17,40.55,24.28,0.38,0.07,0.11,0.17,-0.28,0,475,0,0,1,11.56,106.3,84.95,1
13,18,5,1.49,1,2,0.88,5,19,0,1.05,7.35,31.67,0.33,0.04,0.21,0.14,-0.2,1,706,4,309,0.6,11.41,123.31,85.94,0
23,6,9,1.08,1,21,0.18,3,10,0,3.64,29.77,11.19,0.14,0.03,0.29,0.09,-0.22,0,520,2,157,0.8,10.46,100.23,87.61,0
20,1,19,4.05,1,4,0.52,8,10,1,3.38,23.76,10.12,0.1,0.07,0.2,0.04,-0.02,629,870,8,0,0.2,6.56,125.06,89.98,0
26,5,4,0.28,0,7,0.22,13,7,1,2.24,46.19,21.85,0.1,0.06,0.19,0.19,-0.15,252,806,2,9,0.8,11.83,148.43,81.88,0
7,15,5,1.77,0,15,0.45,12,14,1,1.49,36.73,5.61,0.1,0.06,0.11,0.18,0,0,434,0,0,1,11.77,97.52,86.75,1
12,1,8,4.49,1,20,0.29,8,5,0,2.6,34.34,18.2,0.41,0.09,0.29,0.14,-0.15,0,565,1,0,1,12.78,130.76,80.95,1
10,19,6,0.23,0,22,0.42,2,15,1,4.07,39.83,35.22,0.1,0.09,0.25,0.12,-0.11,3,791,4,316,0.6,12.41,140.2,83.67,0
22,8,17,3.09,0,2,0.65,3,13,1,0.13,23.37,30.09,0.43,0.04,0.27,0.1,-0.23,5,666,2,155,0.8,12.81,129.44,83.67,0
5,10,9,3.52,0,26,0.1,12,19,0,4.97,9.56,22.68,0.25,0.1,0.09,0.19,-0.06,824,845,10,0,0,0.81,100.51,95.5,0
24,4,5,3.84,0,14,0.22,17,12,1,3.9,41.59,10.48,0.32,0.08,0.11,0.09,-0.07,979,1026,10,0,0,1.4,121.82,93.92,0
13,7,7,3.67,1,15,0.27,2,16,1,3.59,14.35,19.58,0.12,0.01,0.06,0.18,-0.08,0,642,3,229,0.8,9.84,122.17,85.94,0
15,6,8,0.21,0,14,0.24,15,10,0,1.41,20.05,38.77,0.22,0.02,0.19,0.16,-0.14,1,665,3,155,0.8,11.96,136.28,82.48,0
18,19,15,2.59,0,8,0.26,13,8,1,3.07,41.22,29.58,0.2,0.04,0.11,0.1,-0.08,617,898,10,154,0,4.67,117.02,92.35,0
28,19,6,2.13,0,19,0.12,13,6,1,0.86,30.63,24.94,0.5,0.04,0.24,0.18,-0.17,0,601,0,0,1,13.69,131.28,80.91,1
27,5,6,2.33,1,6,0.78,11,12,0,0.23,25.93,21.73,0.24,0.04,0.29,0.16,-0.13,0,382,0,3,1,10.05,86.44,87.91,1
11,7,13,2.4,0,15,0.61,17,3,1,2.9,17.94,25.28,0.35,0.02,0.27,0.16,-0.18,0,881,0,0,1,18.32,188.48,72.62,1
23,13,20,1.86,1,22,0.85,13,14,0,3.79,39.4,27.68,0.28,0.02,0.22,0.13,-0.01,331,555,4,2,0.6,6.64,89.04,91.56,0
8,3,13,0.12,1,19,0.93,18,14,0,4.16,40.7,25.92,0.34,0.03,0.11,0.18,-0.09,0,300,0,0,1,9.75,70.66,90.51,1
11,5,5,0.27,1,25,0.9,10,17,0,3.25,31.23,22.36,0.06,0.08,0.14,0.06,-0.16,0,485,2,154,0.8,10.75,92.75,88.8,0
13,11,1,2.23,1,29,0.46,14,15,1,3.41,32.77,17.47,0.25,0.01,0.24,0.05,-0.01,154,425,2,0,0.8,8.27,80.7,90.77,0
23,2,13,4.8,1,12,0.26,6,9,1,3.93,14.16,15.07,0.35,0.09,0.25,0.05,-0.05,928,969,11,0,0,1.25,116.11,94.72,0
19,1,18,2.59,1,7,0.93,1,11,0,4.91,38.66,17.5,0.25,0.02,0.23,0.04,-0.26,0,777,4,156,0.8,13.04,165.21,70.6,0
15,8,18,0.93,1,12,0.84,16,10,1,2.61,6.1,14.99,0.25,0.05,0.11,0.19,-0.14,0,690,1,0,1,14.66,155.76,77.36,1
13,14,4,3.81,0,14,0.3,9,15,0,4.45,44.01,17.93,0.47,0.03,0.29,0.03,-0.07,312,1026,4,0,0.6,19.18,187.56,75.97,0
15,8,11,2.86,0,13,0.49,18,20,0,0.16,39.3,21.8,0.31,0.07,0.29,0.16,-0.18,1,426,0,0,1,11.2,95.85,86.43,1
2,13,17,4.01,0,30,0.95,7,12,0,1.37,27.95,33.19,0.21,0.02,0.15,0.1,-0.12,0,703,0,0,1,15.83,152.26,77.75,1
22,10,1,4.05,1,20,0.62,1,20,1,3.87,30.55,39.55,0.18,0.07,0.3,0.14,-0.08,618,660,8,0,0.2,1.55,82.84,95.7,0
12,13,15,1.37,0,12,0.67,4,10,0,2.4,46.95,39.16,0.23,0.04,0.25,0.03,-0.24,0,950,4,0,0.6,17.95,228.06,66.55,0
20,10,15,0.65,1,24,0.18,9,5,0,1.34,32.2,6.21,0.37,0.02,0.16,0.18,-0.28,0,493,0,0,1,11.77,109.59,84.46,1
26,3,4,2.29,0,20,0.99,5,18,0,4.19,27.29,16.26,0.48,0.02,0.06,0.15,-0.11,0,1170,3,178,0.8,16.9,235.62,67.89,0
11,4,9,0.89,0,29,0.71,5,3,1,3.04,36.35,36.03,0.22,0.08,0.28,0.07,-0.27,4,756,2,0,1,15.51,174.97,74.2,1
7,8,10,1.62,1,1,0.81,8,16,0,0.7,25.65,21.45,0.07,0.08,0.28,0.17,-0.27,3,301,0,7,1,9.83,69.75,90.57,1
2,2,6,4.35,0,2,0.59,8,10,1,2.99,23.49,10.03,0.11,0.04,0.12,0.08,-0.1,657,719,8,0,0.2,1.64,92.06,94.72,0
7,3,17,3.24,0,13,0.97,3,19,1,1.63,18.83,10.43,0.28,0.01,0.3,0.18,-0.2,0,435,0,0,1,12.26,97.87,85.99,1
23,4,1,0.54,1,18,0.44,14,15,0,3.98,18.69,13.11,0.28,0.08,0.09,0.17,-0.29,0,482,0,0,1,11.98,107.24,84.85,1
12,5,16,3.16,0,22,0.11,14,11,0,4.79,5.41,38.02,0.31,0.09,0.23,0.14,-0.14,0,696,0,0,1,16.27,150.36,77.95,1
18,9,13,4.03,0,3,0.53,16,17,1,4.41,25.64,29.76,0.4,0.04,0.15,0.08,-0.03,1108,1141,11,0,0,0.91,133,93.92,0
26,13,16,1.25,0,23,0.39,8,11,1,1.55,46.65,21.57,0.31,0.05,0.18,0.07,0,900,939,10,0,0,1.24,112.1,94.72,0
18,20,12,2.51,1,12,0.28,18,7,0,3.77,44.2,27.62,0.45,0.02,0.06,0.11,-0.19,0,1207,6,309,0.4,15.84,237.05,69.86,0
17,6,9,1.28,1,6,0.14,14,12,1,4.14,48.45,19.48,0.31,0.09,0.27,0.02,-0.28,0,2149,8,0,0.6,33.18,494.98,24.89,0
28,14,6,0.83,0,7,0.27,6,9,1,2.44,14.42,19.22,0.16,0.05,0.29,0.14,-0.08,620,886,6,0,0.6,7.48,131.88,88.8,0
25,13,14,1.47,0,2,0.8,4,15,1,4.32,15.4,29.91,0.07,0.07,0.14,0.12,-0.04,770,788,10,0,0,0.86,94.45,95.7,0
5,13,6,2.82,1,11,0.24,4,13,0,4.53,46.55,38.89,0.44,0.06,0.14,0.15,-0.25,0,368,0,0,1,10.96,84.2,88.51,1
8,1,11,0.57,1,12,0.42,13,10,1,0.84,11.41,22.09,0.3,0.06,0.25,0.16,-0.01,618,667,8,0,0.2,1.42,84.31,95.5,0
27,20,10,0.3,1,1,0.81,17,18,0,0.88,18.25,7.91,0.06,0.02,0.07,0.12,-0.24,16,639,2,161,0.8,10.98,122.46,85.64,0
27,19,6,0.86,1,17,0.78,7,19,0,2.74,40.26,30.85,0.26,0.06,0.13,0.13,-0.06,5,338,0,0,1,9.92,77.81,89.64,1
22,7,18,0.54,0,12,0.37,19,14,0,1.4,10.35,22.05,0.09,0.06,0.23,0.12,-0.14,18,855,4,309,0.6,13.38,151.82,81.89,0
22,8,4,1.76,0,8,0.27,2,1,1,4.7,44.78,19.25,0.11,0.03,0.17,0.16,-0.17,41,408,0,0,1,10.07,88.32,88,1
15,10,20,0.59,1,7,0.41,1,8,1,2.45,29.43,20.77,0.39,0.1,0.3,0.03,-0.15,0,1283,7,155,0.4,20.47,287.13,58.81,0
21,4,11,0.21,0,8,0.56,8,20,1,3.62,33.43,6.98,0.38,0.08,0.2,0.12,-0.13,0,1603,7,0,0.6,23.38,380.38,42.64,0
27,10,5,2.44,1,20,0.72,13,11,1,0.46,7.38,22.92,0.08,0.09,0.05,0.17,-0.28,4,635,0,39,1,12.02,134.79,81.89,1
4,6,7,3.61,1,9,0.48,19,10,0,0.9,13.88,7.96,0.13,0.04,0.16,0.1,-0.24,0,1577,4,0,1,23.75,354.8,46.48,1
22,18,13,4.77,0,14,0.53,17,7,1,1.41,20.95,11.5,0.3,0.08,0.07,0.02,-0.13,0,2032,9,0,0.4,29.45,479.25,27.55,0
27,4,11,3.51,1,2,0.43,15,14,1,1.75,42.49,20.36,0.06,0.01,0.12,0.12,-0.23,9,656,2,155,0.8,12.14,126.38,83.98,0
8,11,17,4.9,0,25,0.79,12,14,0,1.39,38.58,31.5,0.31,0.06,0.16,0.17,-0.16,0,392,0,0,1,10.57,88.93,87.62,1
22,20,13,4.89,0,4,0.61,5,1,0,4.75,6.05,31.87,0.36,0.05,0.08,0.03,-0.25,1,2511,9,0,0.6,42.91,578.06,12.82,0
21,7,8,0.66,0,18,0.72,11,3,1,2.31,38.9,11.07,0.19,0.07,0.24,0.08,-0.03,8,579,2,155,0.8,11.59,111.97,85.94,0
24,15,19,0.71,1,30,0.97,17,10,1,2.42,10.29,19.17,0.13,0.02,0.18,0.16,-0.03,923,976,11,0,0,2.08,122.06,93.53,0
13,8,1,0.23,1,23,0.24,19,7,0,1.14,31.49,30.46,0.49,0.06,0.28,0.09,-0.03,0,472,2,155,0.8,10.01,90.35,89.19,0
11,3,4,1.15,0,12,0.85,3,5,1,0.81,8.46,11.61,0.1,0.04,0.1,0.14,-0.07,772,796,10,0,0,0.89,95.79,95.5,0
30,18,1,1.79,0,18,0.35,6,19,0,3.26,49.31,26.56,0.46,0.03,0.13,0.09,-0.25,0,1093,6,155,0.8,18.02,242.84,65.72,0
22,6,10,1.78,1,13,0.57,8,6,0,0.7,45.9,27.82,0.43,0.04,0.06,0.13,-0.27,0,756,3,167,0.8,12.12,153.65,80.91,0
16,12,18,4.41,1,21,0.34,13,17,1,2.39,37.18,23.77,0.41,0.06,0.27,0.14,-0.27,0,501,1,0,1,11.98,117.54,83.47,1
9,5,2,2.56,1,12,0.78,19,9,1,3.45,30.73,25.92,0.1,0.08,0.24,0.2,-0.22,0,284,0,0,1,9.4,67.36,90.86,1
4,3,20,4.78,1,19,0.17,2,10,1,4.38,44.48,35.99,0.37,0.05,0.1,0.18,-0.24,0,300,0,0,1,9.68,69.96,90.38,1
2,12,11,1.07,0,18,0.12,16,5,0,4.35,7.49,26.82,0.31,0.04,0.29,0.03,-0.01,761,782,10,0,0,0.85,96.07,95.5,0
30,19,15,0.14,0,26,0.34,5,4,0,3.52,43.06,5.48,0.15,0.06,0.07,0.13,-0.17,0,1027,2,0,1,17.42,230.6,66.71,1
14,17,5,1.46,1,6,0.72,20,16,0,3.58,8.95,11.82,0.33,0.01,0.1,0.07,-0.06,466,704,6,0,0.4,6.94,107.45,90.38,0
