Rank,Energy (Whr),Traveled_distance,DWA_new_plan,Mission_time,Recovery_executed,Husky
Rank 1,32.016,4.43,317,160.88,10,Simulator
Rank 1,48.48,14.61,5,108.38,0,Simulator
Rank 1,44.352,9.6,164,134.55,4,Simulator
Rank 1,45.936,4.59,397,186.31,10,Simulator
Rank 1,22.848,7.31,161,111.11,6,Simulator
Rank 1,57.912,11.77,250,179.74,6,Simulator
Rank 1,63.888,16.5,86,227.62,8,Simulator
Rank 1,24.048,11.65,86,74.67,2,Simulator
Rank 1,26.808,6.73,176,182.43,15,Simulator
Rank 1,19.248,1.24,240,144.8,10,Simulator
Rank 1,34.008,12.13,169,114.39,4,Simulator
Rank 1,44.352,4.84,322,190.74,10,Simulator
Rank 1,49.704,14.58,5,112.04,0,Simulator
Rank 1,50.736,13.09,85,130.59,2,Simulator
Rank 1,67.08,15.29,87,177.27,3,Simulator
Rank 1,111.072,15.45,6,238.42,0,Simulator
Rank 1,32.016,14.7,164,108.78,4,Simulator
Rank 1,60.72,11.84,246,186.26,6,Simulator
Rank 1,22.848,1.64,397,138.18,10,Simulator
Rank 1,33.912,9.99,162,111.57,4,Simulator
Rank 1,38.688,9.31,399,170.98,10,Simulator
Rank 1,29.208,1.43,239,164.55,10,Simulator
Rank 1,40.848,4.02,318,180.28,10,Simulator
Rank 1,26.808,2.73,397,147.88,10,Simulator
Rank 1,41.184,10.31,163,129.26,4,Simulator
Rank 1,53.136,6.92,160,196.94,8,Simulator
Rank 1,57.84,4.29,396,209.73,10,Simulator
Rank 1,93.744,22.09,5,200.49,0,Simulator
Rank 1,145.632,17.55,249,396.21,11,Simulator
Rank 1,45.96,6.79,320,166.47,8,Simulator
Rank 1,31.2,14.58,84,92.36,2,Simulator
Rank 1,118.512,16.25,246,305.48,6,Simulator
Rank 1,51.936,10.5,322,210.4,10,Simulator
Rank 1,39.576,12.29,7,114.29,2,Simulator
Rank 1,62.784,18.84,6,138.83,0,Simulator
Rank 1,24.432,8.86,162,115.47,6,Simulator
Rank 1,48.36,7.15,241,157.38,6,Simulator
Rank 1,44.352,9.34,242,150.87,6,Simulator
Rank 1,36.768,4.4,320,175.96,10,Simulator
Rank 1,48.672,15.01,170,143.57,4,Simulator
Rank 1,41.184,5.57,320,183.78,10,Simulator
Rank 1,38.784,6.99,317,155.84,8,Simulator
Rank 1,39.576,9.12,161,146.92,6,Simulator
Rank 1,37.992,12.65,163,120.54,4,Simulator
Rank 1,45.96,11.82,85,188.11,8,Simulator
Rank 1,59.496,14.93,84,193.06,6,Simulator
Rank 1,30,5.14,396,151.67,10,Simulator
Rank 1,37.992,4.74,395,169.5,10,Simulator
Rank 1,36.072,7.68,238,153.09,8,Simulator
Rank 1,56.328,11.93,163,157.97,4,Simulator
Rank 3,33.6,13.28,164,110.1,4,Simulator
Rank 3,43.56,12.77,241,147.42,6,Simulator
Rank 3,21.624,6.68,162,132.15,8,Simulator
Rank 3,22.632,14.46,5,54.4,0,Simulator
Rank 3,21.624,11.77,83,69.51,2,Simulator
Rank 3,24.576,14.5,7,59.87,0,Simulator
Rank 3,36.336,13.16,166,117.6,4,Simulator
Rank 3,24.048,11.89,87,75.34,2,Simulator
Rank 3,20.832,12.07,84,68.6,2,Simulator
Rank 3,39.576,7.63,242,164.27,8,Simulator
Rank 3,19.248,10.37,161,82.09,4,Simulator
Rank 3,25.704,14.5,5,62.24,0,Simulator
Rank 3,37.632,9.86,242,113.41,6,Simulator
Rank 3,69.888,14.46,165,190.47,4,Simulator
Rank 3,33.672,11.62,167,111.08,4,Simulator
