Cost_scaling_factor_global,Update_frequency_global,Publish_frequency_global,Transform_tolerance_global,Combination_method_global,Cost_scaling_factor_local,Inflation_radius_local,Update_frequency_local,Publish_frequency_local,Combination_method_local,Transform_tolerance_local,Path_distance_bias,Goal_distance_bias,Occdist_scale,Stop_time_buffer,yaw_goal_tolerance,xy_goal_tolerance,min_vel_x,DWA_failed,DWA_new_plan,Rotate_recovery_executed,Error_rotating_goal,RNS,Traveled_distance,Mission_time,Battery_percentage,Mission_success
10,4,3,0.5,1,10,1,4,3,1,0.5,0.75,0.89,1.02,0.2,0.1,0.2,0,317,317,10,0,0.2,4.43,160.88,86.66,0
10,4,3,0.5,1,10,1,4,3,1,0.5,0.75,4.9,4.82,0.2,0.1,0.2,0,0,5,0,0,1,14.61,108.38,79.8,1
10,4,3,0.5,1,10,1,4,3,1,0.5,0.75,3.01,4.97,0.2,0.1,0.2,0,161,164,4,0,0.6,9.6,134.55,81.52,0
10,4,3,0.5,1,10,1,4,3,1,0.5,0.75,1.59,4.34,0.2,0.1,0.2,0,397,397,10,0,0.2,4.59,186.31,80.86,0
10,4,3,0.5,1,10,1,4,3,1,0.5,0.75,1.91,4.05,0.2,0.1,0.2,0,159,161,6,0,0.4,7.31,111.11,90.48,0
10,4,3,0.5,1,10,1,4,3,1,0.5,0.75,0.56,3.13,0.2,0.1,0.2,0,166,250,6,82,0.8,11.77,179.74,75.87,0
10,4,3,0.5,1,10,1,4,3,1,0.5,0.75,0.4,1.56,0.2,0.1,0.2,0,4,86,8,81,0.4,16.5,227.62,73.38,0
10,4,3,0.5,1,10,1,4,3,1,0.5,0.75,2.65,0.18,0.2,0.1,0.2,0,82,86,2,0,0.8,11.65,74.67,89.98,0
10,4,3,0.5,1,10,1,4,3,1,0.5,0.75,4.31,0.89,0.2,0.1,0.2,0,175,176,15,0,0.4,6.73,182.43,88.83,0
10,4,3,0.5,1,10,1,4,3,1,0.5,0.75,2.2,3.36,0.2,0.1,0.2,0,240,240,10,0,0,1.24,144.8,91.98,0
10,4,3,0.5,1,10,1,4,3,1,0.5,0.75,4.95,3.54,0.2,0.1,0.2,0,87,169,4,79,0.8,12.13,114.39,85.83,0
10,4,3,0.5,1,10,1,4,3,1,0.5,0.75,2.65,3.73,0.2,0.1,0.2,0,241,322,10,81,0.2,4.84,190.74,81.52,0
10,4,3,0.5,1,10,1,4,3,1,0.5,0.75,2.17,1.42,0.2,0.1,0.2,0,0,5,0,0,1,14.58,112.04,79.29,1
10,4,3,0.5,1,10,1,4,3,1,0.5,0.75,4.98,2.81,0.2,0.1,0.2,0,81,85,2,0,0.8,13.09,130.59,78.86,0
10,4,3,0.5,1,10,1,4,3,1,0.5,0.75,3.11,3.02,0.2,0.1,0.2,0,83,87,3,0,0.8,15.29,177.27,72.05,0
10,4,3,0.5,1,10,1,4,3,1,0.5,0.75,0.91,2.84,0.2,0.1,0.2,0,0,6,0,1,1,15.45,238.42,53.72,1
