Cost_scaling_factor_global,Update_frequency_global,Publish_frequency_global,Transform_tolerance_global,Footprint_padding_global,Combination_method_global,Cost_scaling_factor_local,Inflation_radius_local,Update_frequency_local,Publish_frequency_local,Combination_method_local,Transform_tolerance_local,Footprint_padding_local,Path_distance_bias,Goal_distance_bias,Occdist_scale,Stop_time_buffer,yaw_goal_tolerance,xy_goal_tolerance,min_vel_x,DWA_failed,DWA_new_plan,DWA_invalid_trajectory,Rotate_recovery_executed,ClearCostMaps_unstuck_recovery_executed,ClearCostMaps_layer_recovery_executed,Invalid_rotation_cmd,Error_rotating_goal,2DRMS,DRMS,CPE,Euclidean_distance,RNS,Traveled_distance,Collisions,Mission_time,Battery_percentage,Mission_success
10,4,3,1.7,0.01,0,10,1,4,3,1,0.5,0.01,0.75,1,0.1,0.2,0.1,0.2,0,81,164,80,4,4,0,80,80,5.48161955133575E-05,2.74080977566788E-05,2.09729296804864E-05,0.178510835686808,0.8,13.28,0,110.1,86,0
10,4,3,0.23,0.01,1,10,1,4,3,1,0.5,0.01,0.75,1,0.1,0.2,0.1,0.2,0,79,241,160,6,6,0,160,160,3.30202525592082E-05,1.65101262796041E-05,1.04394011142271E-05,0.171475214487173,0.8,12.77,0,147.42,81.85,0
10,4,3,1.94,0.01,1,10,1,4,3,1,0.5,0.01,0.75,1,0.1,0.2,0.1,0.2,0,161,162,0,8,8,0,0,0,5.6416466703713E-05,2.82082333518565E-05,1.76596461614732E-05,0.166559792667987,0.4,6.68,0,132.15,90.99,0
10,4,3,4.57,0.01,1,10,1,4,3,1,0.5,0.01,0.75,1,0.1,0.2,0.1,0.2,0,0,5,0,0,0,0,0,0,5.56783268265778E-05,2.78391634132889E-05,1.66821526587738E-05,0.17047725005376,1,14.46,0,54.4,90.57,1
10,4,3,2.03,0.01,0,10,1,4,3,1,0.5,0.01,0.75,1,0.1,0.2,0.1,0.2,0,79,83,0,2,2,0,0,0,4.71357002576488E-05,2.35678501288244E-05,1.45564370105598E-05,0.170626751046068,0.8,11.77,0,69.51,90.99,0
10,4,3,1.59,0.01,0,10,1,4,3,1,0.5,0.01,0.75,1,0.1,0.2,0.1,0.2,0,2,7,0,0,0,0,0,0,6.13683056000537E-05,3.06841528000268E-05,1.87746763667765E-05,0.166521594457737,1,14.5,0,59.87,89.76,1
10,4,3,0.69,0.01,1,10,1,4,3,1,0.5,0.01,0.75,1,0.1,0.2,0.1,0.2,0,80,166,83,4,4,0,83,83,6.94230181720383E-05,3.47115090860192E-05,2.05939210832289E-05,0.168170825563635,0.8,13.16,0,117.6,84.86,0
10,4,3,2.19,0.01,1,10,1,4,3,1,0.5,0.01,0.75,1,0.1,0.2,0.1,0.2,0,83,87,0,2,2,0,0,0,4.17290656885757E-05,2.08645328442879E-05,1.53647887655683E-05,0.166184686279665,0.8,11.89,0,75.34,89.98,0
10,4,3,3.98,0.01,0,10,1,4,3,1,0.5,0.01,0.75,1,0.1,0.2,0.1,0.2,0,80,84,0,2,2,0,0,0,4.92586338709884E-05,2.46293169354942E-05,1.5203315176374E-05,0.169815342974444,0.8,12.07,0,68.6,91.32,0
10,4,3,1.38,0.01,1,10,1,4,3,1,0.5,0.01,0.75,1,0.1,0.2,0.1,0.2,0,161,242,80,8,8,0,80,80,3.17929337230667E-05,1.58964668615333E-05,9.74418732470406E-06,0.15847510979778,0.4,7.63,0,164.27,83.51,0
10,4,3,2,0.01,0,10,1,4,3,1,0.5,0.01,0.75,1,0.1,0.2,0.1,0.2,0,158,161,0,4,4,0,0,0,4.95253722723575E-05,2.47626861361788E-05,1.54014959866926E-05,0.173211880648361,0.6,10.37,0,82.09,91.98,0
10,4,3,4.37,0.01,0,10,1,4,3,1,0.5,0.01,0.75,1,0.1,0.2,0.1,0.2,0,0,5,0,0,0,0,0,0,5.89008720957358E-05,2.94504360478679E-05,1.93028233206006E-05,0.170239162053514,1,14.5,0,62.24,89.29,1
10,4,3,3.14,0.01,0,10,1,4,3,1,0.5,0.01,0.75,1,0.1,0.2,0.1,0.2,0,160,242,80,6,6,0,80,80,5.36018480971178E-05,2.68009240485589E-05,1.61875015805878E-05,0.172016976423244,0.6,9.86,0,113.41,84.32,0
10,4,3,3.13,0.01,0,10,1,4,3,1,0.5,0.01,0.75,1,0.1,0.2,0.1,0.2,0,80,165,82,4,4,0,82,82,4.85301811202107E-05,2.42650905601054E-05,1.51120053097833E-05,0.169017144876362,1,14.46,0,190.47,70.88,0
10,4,3,4.24,0.01,0,10,1,4,3,1,0.5,0.01,0.75,1,0.1,0.2,0.1,0.2,0,164,167,0,4,4,0,0,0,6.51010144146527E-05,3.25505072073264E-05,2.1080919291391E-05,0.167533775567586,0.8,11.62,0,111.08,85.97,0
10,4,3,4.32,0.01,1,10,1,4,3,1,0.5,0.01,0.75,1,0.1,0.2,0.1,0.2,0,1,6,0,0,0,0,0,0,4.31009741162556E-05,2.15504870581278E-05,1.34110819111588E-05,0.168152725497247,1,14.43,0,75.22,87,1
