Cost_scaling_factor_global,Update_frequency_global,Publish_frequency_global,Transform_tolerance_global,Footprint_padding_global,Combination_method_global,Cost_scaling_factor_local,Inflation_radius_local,Update_frequency_local,Publish_frequency_local,Combination_method_local,Transform_tolerance_local,Footprint_padding_local,Path_distance_bias,Goal_distance_bias,Occdist_scale,Stop_time_buffer,yaw_goal_tolerance,xy_goal_tolerance,min_vel_x,DWA_failed,DWA_new_plan,DWA_invalid_trajectory,Rotate_recovery_executed,ClearCostMaps_unstuck_recovery_executed,ClearCostMaps_layer_recovery_executed,Invalid_rotation_cmd,Error_rotating_goal,2DRMS,DRMS,CPE,Euclidean_distance,RNS,Traveled_distance,Collisions,Mission_time,Battery_percentage,Mission_success
14,4,3,0.5,0.01,1,10,1,2,3,1,0.5,0.01,0.75,1,0.1,0.2,0.1,0.2,0,82,86,0,2,2,0,0,0,5.75208420902574E-05,2.87604210451287E-05,1.77020046909088E-05,0.168339720053985,0.8,12.84,0,73.62,90.48,0
10,4,3,0.5,0.01,1,10,1,1,3,1,0.5,0.01,0.75,1,0.1,0.2,0.1,0.2,0,161,243,80,6,6,0,80,80,5.06254150754597E-05,2.53127075377298E-05,1.56179959198608E-05,0.173383899273152,0.6,9.89,0,103.01,91.65,0
7,4,3,0.5,0.01,1,10,1,3,3,1,0.5,0.01,0.75,1,0.1,0.2,0.1,0.2,0,0,5,0,0,0,0,0,0,4.86873841865729E-05,2.43436920932864E-05,1.49248931852644E-05,0.170291656652311,1,14.6,0,89.95,83.67,1
15,4,3,0.5,0.01,1,10,1,4,3,1,0.5,0.01,0.75,1,0.1,0.2,0.1,0.2,0,84,88,0,2,2,0,0,0,3.4063837152399E-05,1.70319185761995E-05,1.09209609779472E-05,0.168465486776564,0.8,13.06,0,91.73,83.12,0
6,4,3,0.5,0.01,1,10,1,9,3,1,0.5,0.01,0.75,1,0.1,0.2,0.1,0.2,0,79,239,158,6,6,0,158,158,6.11038652568184E-05,3.05519326284092E-05,1.85895661238091E-05,0.171434579317975,0.8,11.67,0,112.8,88.99,0
12,4,3,0.5,0.01,1,10,1,9,3,1,0.5,0.01,0.75,1,0.1,0.2,0.1,0.2,0,166,169,0,4,4,0,0,0,4.62965161926792E-05,2.31482580963396E-05,1.5982818162071E-05,0.167852690127186,0.6,10.2,0,89.52,90.48,0
14,4,3,0.5,0.01,1,10,1,5,3,1,0.5,0.01,0.75,1,0.1,0.2,0.1,0.2,0,162,165,0,4,4,0,0,0,4.52841439910339E-05,2.26420719955169E-05,1.36057294625837E-05,0.167789953593033,0.6,10.28,0,99.87,88.49,0
6,4,3,0.5,0.01,1,10,1,6,3,1,0.5,0.01,0.75,1,0.1,0.2,0.1,0.2,0,241,243,0,6,6,0,0,0,3.3100779398123E-05,1.65503896990615E-05,1.1372261865621E-05,0.175440247613651,0.4,7.69,0,94.2,92.97,0
5,4,3,0.5,0.01,1,10,1,1,3,1,0.5,0.01,0.75,1,0.1,0.2,0.1,0.2,0,89,93,0,2,2,0,0,0,4.97873913385886E-05,2.48936956692943E-05,1.51170402755259E-05,0.178556779170526,0.8,12.54,0,80.3,89.16,0
14,4,3,0.5,0.01,1,10,1,5,3,1,0.5,0.01,0.75,1,0.1,0.2,0.1,0.2,0,84,85,0,8,8,0,0,0,5.86313225686384E-05,2.93156612843192E-05,1.77819908173458E-05,0.172194183087084,0.4,13.41,0,187.33,81.52,0
