Cost_scaling_factor_global,Update_frequency_global,Publish_frequency_global,Transform_tolerance_global,Footprint_padding_global,Combination_method_global,Cost_scaling_factor_local,Inflation_radius_local,Update_frequency_local,Publish_frequency_local,Combination_method_local,Transform_tolerance_local,Footprint_padding_local,Path_distance_bias,Goal_distance_bias,Occdist_scale,Stop_time_buffer,yaw_goal_tolerance,xy_goal_tolerance,min_vel_x,DWA_failed,DWA_new_plan,DWA_invalid_trajectory,Rotate_recovery_executed,ClearCostMaps_unstuck_recovery_executed,ClearCostMaps_layer_recovery_executed,Invalid_rotation_cmd,Error_rotating_goal,2DRMS,DRMS,CPE,Euclidean_distance,RNS,Traveled_distance,Collisions,Mission_time,Battery_percentage,Mission_success
10,4,3,0.5,0.01,1,10,1,4,3,1,1.14,0.01,0.75,3.47,0.1,0.2,0.1,0.2,0,159,162,0,4,4,0,0,0,4.77909044693582E-05,2.38954522346791E-05,1.52650030688367E-05,0.171383615832269,0.6,10.04,0,82.09,90.48,0
10,4,3,0.5,0.01,1,10,1,4,3,1,2.29,0.01,0.75,4.37,0.1,0.2,0.1,0.2,0,82,86,0,2,2,0,0,0,4.48833291052464E-05,2.24416645526232E-05,1.41511041196543E-05,0.17311766742169,0.8,12.37,0,61.62,91.65,0
10,4,3,0.5,0.01,1,10,1,4,3,1,4.57,0.01,0.75,2.05,0.1,0.2,0.1,0.2,0,160,163,0,4,4,0,0,0,4.39790929242198E-05,2.19895464621099E-05,1.33714398899783E-05,0.176090293113683,0.6,9.66,0,71.23,92.97,0
10,4,3,0.5,0.01,1,10,1,4,3,1,1.07,0.01,0.75,1.06,0.1,0.2,0.1,0.2,0,237,318,80,8,8,0,80,80,3.0130566548937E-05,1.50652832744685E-05,1.03708958332111E-05,0.165994378789114,0.4,6.74,0,120.82,88.83,0
10,4,3,0.5,0.01,1,10,1,4,3,1,2.51,0.01,0.75,2.66,0.1,0.2,0.1,0.2,0,82,86,0,2,2,0,0,0,7.15644094673621E-05,3.57822047336811E-05,2.2213882964135E-05,0.171413653985451,0.8,11.87,0,65.51,90.99,0
10,4,3,0.5,0.01,1,10,1,4,3,1,1.11,0.01,0.75,4.13,0.1,0.2,0.1,0.2,0,163,166,0,4,4,0,0,0,7.56684330899104E-05,3.78342165449552E-05,2.37636078144922E-05,0.171079334389225,0.6,9.5,0,73.82,92.31,0
10,4,3,0.5,0.01,1,10,1,4,3,1,0.82,0.01,0.75,4.56,0.1,0.2,0.1,0.2,0,81,85,0,2,2,0,0,0,4.88308347680218E-05,2.44154173840109E-05,1.5886999836604E-05,0.172570231420709,0.8,12.29,0,68.68,89.98,0
10,4,3,0.5,0.01,1,10,1,4,3,1,1.55,0.01,0.75,0.25,0.1,0.2,0.1,0.2,0,85,168,80,4,4,0,80,80,1.75232387829975E-05,8.76161939149874E-06,7.14141036065193E-06,0.164378986811197,0.8,14.19,0,142.03,77.52,0
10,4,3,0.5,0.01,1,10,1,4,3,1,3.59,0.01,0.75,2.35,0.1,0.2,0.1,0.2,0,0,5,0,0,0,0,0,0,5.13863534546121E-05,2.5693176727306E-05,1.83196269358274E-05,0.167004713794429,1,15.38,0,104.82,78.36,1
10,4,3,0.5,0.01,1,10,1,4,3,1,1.03,0.01,0.75,4.1,0.1,0.2,0.1,0.2,0,1,6,0,0,0,0,0,0,5.46690237253609E-05,2.73345118626804E-05,1.6710410947756E-05,0.173847189649642,1,14.43,0,48.08,91.01,1
10,4,3,0.5,0.01,1,10,1,4,3,1,3.84,0.01,0.75,1.5,0.1,0.2,0.1,0.2,0,80,84,0,2,2,0,0,0,6.37287032855219E-05,3.18643516427609E-05,2.30459914944787E-05,0.167510222376941,0.8,12.35,0,78.95,87.83,0
10,4,3,0.5,0.01,1,10,1,4,3,1,2.06,0.01,0.75,4.82,0.1,0.2,0.1,0.2,0,0,5,0,0,0,0,0,0,5.89133091523409E-05,2.94566545761705E-05,2.01200514583047E-05,0.169924080162031,1,14.46,0,48.97,90.82,1
10,4,3,0.5,0.01,1,10,1,4,3,1,0.13,0.01,0.75,3.04,0.1,0.2,0.1,0.2,0,11,99,84,2,2,0,84,84,6.60598695265059E-05,3.3029934763253E-05,2.33612356442414E-05,0.171943285553783,1,17.85,0,420.48,12.65,1
10,4,3,0.5,0.01,1,10,1,4,3,1,0.79,0.01,0.75,2.82,0.1,0.2,0.1,0.2,0,239,244,3,6,6,0,3,3,6.87864123558033E-05,3.43932061779016E-05,2.16809863509948E-05,0.168015571378114,0.6,9.44,0,104.5,88.99,0
10,4,3,0.5,0.01,1,10,1,4,3,1,2.95,0.01,0.75,3.21,0.1,0.2,0.1,0.2,0,160,242,80,6,6,0,80,80,5.21363733573924E-05,2.60681866786962E-05,1.65173984043644E-05,0.174014775317676,0.6,9.65,0,107.24,88.49,0
10,4,3,0.5,0.01,1,10,1,4,3,1,3.4,0.01,0.75,0.38,0.1,0.2,0.1,0.2,0,160,242,80,6,6,0,80,80,2.07273291020991E-05,1.03636645510496E-05,8.64362942024169E-06,0.175978686552299,0.6,11.27,0,152.86,78.36,0
10,4,3,0.5,0.01,1,10,1,4,3,1,4.79,0.01,0.75,4.98,0.1,0.2,0.1,0.2,0,160,163,0,4,4,0,0,0,6.05783654332588E-05,3.02891827166294E-05,1.93524308419769E-05,0.169462369753299,0.6,10.26,0,72.16,92.97,0
10,4,3,0.5,0.01,1,10,1,4,3,1,0.41,0.01,0.75,0.55,0.1,0.2,0.1,0.2,0,0,84,80,2,2,0,80,80,1.20256172542619E-05,6.01280862713096E-06,4.55715942782827E-06,0.157183499993715,1,14.51,0,85.84,86.16,1
10,4,3,0.5,0.01,1,10,1,4,3,1,2.14,0.01,0.75,4.42,0.1,0.2,0.1,0.2,0,162,165,0,4,4,0,0,0,5.73782087908565E-05,2.86891043954282E-05,1.83423894661692E-05,0.1712811257071,0.6,9.99,0,71.22,92.97,0
10,4,3,0.5,0.01,1,10,1,4,3,1,0.3,0.01,0.75,1.69,0.1,0.2,0.1,0.2,0,159,162,0,4,4,0,0,0,6.58052422510724E-05,3.29026211255362E-05,2.22931162971827E-05,0.170253291314102,0.8,11.68,0,80.69,90.99,0
10,4,3,0.5,0.01,1,10,1,4,3,1,2.02,0.01,0.75,1.26,0.1,0.2,0.1,0.2,0,3,8,0,0,0,0,0,0,6.20687861490135E-05,3.10343930745068E-05,2.15573135981626E-05,0.167917528402695,1,14.48,0,59.21,88.66,1
10,4,3,0.5,0.01,1,10,1,4,3,1,0.8,0.01,0.75,3.09,0.1,0.2,0.1,0.2,0,79,83,0,2,2,0,0,0,5.79793028972941E-05,2.8989651448647E-05,1.98013269731953E-05,0.171010451250861,0.8,11.77,0,61.27,91.65,0
10,4,3,0.5,0.01,1,10,1,4,3,1,0.71,0.01,0.75,3.73,0.1,0.2,0.1,0.2,0,160,163,0,4,4,0,0,0,5.98931821793037E-05,2.99465910896518E-05,1.90142591544377E-05,0.168455695571034,0.6,9.72,0,71.18,92.97,0
10,4,3,0.5,0.01,1,10,1,4,3,1,4.79,0.01,0.75,1.26,0.1,0.2,0.1,0.2,0,0,5,0,0,0,0,0,0,6.0277921334778E-05,3.0138960667389E-05,1.82375556263784E-05,0.167904980479971,1,14.46,0,67.4,86.86,1
10,4,3,0.5,0.01,1,10,1,4,3,1,1.35,0.01,0.75,1.83,0.1,0.2,0.1,0.2,0,239,241,0,6,6,0,0,0,2.59448467226927E-05,1.29724233613464E-05,9.20068761476853E-06,0.175122752065161,0.6,9.26,0,93.45,91.65,0
10,4,3,0.5,0.01,1,10,1,4,3,1,0.65,0.01,0.75,1.19,0.1,0.2,0.1,0.2,0,7,91,80,2,2,0,80,80,3.05403538814142E-05,1.52701769407071E-05,1.06801330525891E-05,0.175830619292584,1,14.54,0,82.07,87.36,1
10,4,3,0.5,0.01,1,10,1,4,3,1,0.46,0.01,0.75,1.88,0.1,0.2,0.1,0.2,0,1,164,160,4,4,0,160,160,6.08965360211095E-05,3.04482680105547E-05,2.04176646674467E-05,0.171514974999057,1,14.58,0,203.97,63.24,1
10,4,3,0.5,0.01,1,10,1,4,3,1,3.91,0.01,0.75,1.89,0.1,0.2,0.1,0.2,0,0,5,0,0,0,0,0,0,3.96699169489839E-05,1.98349584744919E-05,1.22945185342589E-05,0.171831351491567,1,14.4,0,47.5,91.22,1
10,4,3,0.5,0.01,1,10,1,4,3,1,3.37,0.01,0.75,3.91,0.1,0.2,0.1,0.2,0,80,84,0,2,2,0,0,0,6.49331203829333E-05,3.24665601914666E-05,2.05843777051158E-05,0.167246253736341,0.8,11.85,0,58.08,89.12,0
10,4,3,0.5,0.01,1,10,1,4,3,1,0.22,0.01,0.75,3.33,0.1,0.2,0.1,0.2,0,0,5,0,0,0,0,0,0,7.19872176564396E-05,3.59936088282198E-05,2.25121509701318E-05,0.172307253818789,1,14.5,0,55.26,89.51,1
10,4,3,0.5,0.01,1,10,1,4,3,1,4,0.01,0.75,1.41,0.1,0.2,0.1,0.2,0,240,242,0,6,6,0,0,0,6.38118325668958E-05,3.19059162834479E-05,2.27489695424434E-05,0.170440836752654,0.6,9.21,0,105.26,88.83,0
10,4,3,0.5,0.01,1,10,1,4,3,1,0.42,0.01,0.75,3.54,0.1,0.2,0.1,0.2,0,80,242,160,6,6,0,160,160,4.99980773209034E-05,2.49990386604517E-05,1.59332292189868E-05,0.173546056139785,0.8,12.44,0,116.57,86.81,0
10,4,3,0.5,0.01,1,10,1,4,3,1,1.88,0.01,0.75,0.63,0.1,0.2,0.1,0.2,0,8,9,0,8,8,0,0,0,1.61338385738612E-05,8.06691928693058E-06,5.49713512030625E-06,0.154621761828214,0.4,17.57,0,200.14,76.89,0
