Cost_scaling_factor_global,Update_frequency_global,Publish_frequency_global,Transform_tolerance_global,Footprint_padding_global,Combination_method_global,Cost_scaling_factor_local,Inflation_radius_local,Update_frequency_local,Publish_frequency_local,Combination_method_local,Transform_tolerance_local,Footprint_padding_local,Path_distance_bias,Goal_distance_bias,Occdist_scale,Stop_time_buffer,yaw_goal_tolerance,xy_goal_tolerance,min_vel_x,DWA_failed,DWA_new_plan,DWA_invalid_trajectory,Rotate_recovery_executed,ClearCostMaps_unstuck_recovery_executed,ClearCostMaps_layer_recovery_executed,Invalid_rotation_cmd,Error_rotating_goal,2DRMS,DRMS,CPE,Euclidean_distance,RNS,Traveled_distance,Collisions,Mission_time,Battery_percentage,Mission_success
10,4,3,0.5,0.01,1,10,1,4,3,1,0.5,0.01,0.75,1,0.1,0.2,0.21,0.2,0,159,162,0,4,4,0,0,0,5.83566787940453E-05,2.91783393970227E-05,1.755918479675E-05,0.168878705114069,0.6,9.5,0,87.03,89.82,0
10,4,3,0.5,0.01,1,10,1,4,3,1,0.5,0.01,0.75,1,0.1,0.2,0.37,0.2,0,159,162,0,4,4,0,0,0,4.29489437521128E-05,2.14744718760564E-05,1.29931256912997E-05,0.170765589909095,0.6,9.3,0,76.93,91.65,0
10,4,3,0.5,0.01,0,10,1,4,3,1,0.5,0.01,0.75,1,0.1,0.2,0.73,0.2,0,160,163,0,4,4,0,0,0,2.76986769371552E-05,1.38493384685776E-05,1.00126474766271E-05,0.174821679494275,0.6,10.25,0,80.4,90.99,0
10,4,3,0.5,0.01,1,10,1,4,3,1,0.5,0.01,0.75,1,0.1,0.2,0.44,0.2,0,80,84,0,2,2,0,0,0,5.49765071770834E-05,2.74882535885417E-05,1.65622817064177E-05,0.169989388272457,0.8,12.07,0,67.54,90.68,0
10,4,3,0.5,0.01,0,10,1,4,3,1,0.5,0.01,0.75,1,0.1,0.2,0.72,0.2,0,160,163,0,4,4,0,0,0,6.38873794777473E-05,3.19436897388736E-05,2.1336210586174E-05,0.165198114458198,0.6,9.49,0,73.13,92.97,1
10,4,3,0.5,0.01,1,10,1,4,3,1,0.5,0.01,0.75,1,0.1,0.2,0.72,0.2,0,81,163,79,4,4,0,79,79,4.09443953522686E-05,2.04721976761343E-05,1.2850078703511E-05,0.164969246067313,0.8,11.7,0,89.43,88.83,1
10,4,3,0.5,0.01,1,10,1,4,3,1,0.5,0.01,0.75,1,0.1,0.2,0.88,0.2,0,201,202,0,8,8,0,0,0,3.46677324377843E-05,1.73338662188922E-05,1.10282451816233E-05,0.172202306571298,0.4,6.61,0,132.58,87.83,0
10,4,3,0.5,0.01,0,10,1,4,3,1,0.5,0.01,0.75,1,0.1,0.2,0.67,0.2,0,319,320,0,8,8,0,0,0,4.56411735410388E-05,2.28205867705194E-05,1.38627095770568E-05,0.167294039544073,0.2,4.83,0,99.93,93.64,0
10,4,3,0.5,0.01,0,10,1,4,3,1,0.5,0.01,0.75,1,0.1,0.2,0.33,0.2,0,238,240,0,6,6,0,0,0,5.03595980071486E-05,2.51797990035743E-05,1.69474477865262E-05,0.16691062612499,0.4,7.28,0,106.6,88.49,1
10,4,3,0.5,0.01,1,10,1,4,3,1,0.5,0.01,0.75,1,0.1,0.2,0.63,0.2,0,237,239,0,6,6,0,0,0,5.93145934952436E-05,2.96572967476218E-05,2.02249803021887E-05,0.172998229423892,0.6,10.42,0,119.16,85.67,0
10,4,3,0.5,0.01,1,10,1,4,3,1,0.5,0.01,0.75,1,0.1,0.2,0.38,0.2,0,3,8,0,1,1,0,0,0,5.37274794584979E-05,2.68637397292489E-05,2.01809199195422E-05,0.159895355731393,1,15.14,0,91,83.68,0
10,4,3,0.5,0.01,1,10,1,4,3,1,0.5,0.01,0.75,1,0.1,0.2,0.13,0.2,0,317,318,0,8,8,0,0,0,5.77593251201727E-05,2.88796625600864E-05,1.78368929254355E-05,0.166095497118432,0.2,5.56,0,112.9,90.48,0
10,4,3,0.5,0.01,0,10,1,4,3,1,0.5,0.01,0.75,1,0.1,0.2,0.29,0.2,0,80,84,0,2,2,0,0,0,5.76458585732503E-05,2.88229292866251E-05,1.77964204847991E-05,0.168199972289485,0.8,11.87,0,59.99,91.98,0
10,4,3,0.5,0.01,0,10,1,4,3,1,0.5,0.01,0.75,1,0.1,0.2,0.84,0.2,0,83,87,0,2,2,0,0,0,4.26948673383831E-05,2.13474336691916E-05,1.32116362735714E-05,0.167711024799548,0.8,12.3,0,72.08,89.49,0
10,4,3,0.5,0.01,1,10,1,4,3,1,0.5,0.01,0.75,1,0.1,0.2,0.17,0.2,0,0,5,0,0,0,0,0,0,6.13919038919965E-05,3.06959519459982E-05,1.97826424317813E-05,0.16738840870775,1,14.5,0,61.58,88,0
10,4,3,0.5,0.01,0,10,1,4,3,1,0.5,0.01,0.75,1,0.1,0.2,0.81,0.2,0,238,240,0,6,6,0,0,0,6.38810683234881E-05,3.19405341617441E-05,2.27779458680019E-05,0.170791323358993,0.4,6.9,0,106.94,88.49,0
10,4,3,0.5,0.01,1,10,1,4,3,1,0.5,0.01,0.75,1,0.1,0.2,0.77,0.2,0,2,7,0,0,0,0,0,0,6.89130893544905E-05,3.44565446772452E-05,2.19252248344637E-05,0.168426904626863,1,14.59,0,68.26,86.77,0
10,4,3,0.5,0.01,0,10,1,4,3,1,0.5,0.01,0.75,1,0.1,0.2,0.27,0.2,0,161,162,0,8,8,0,0,0,5.68908250894059E-05,2.8445412544703E-05,1.79042225058251E-05,0.165535716930846,0.4,6.87,0,156.1,84.17,0
10,4,3,0.5,0.01,0,10,1,4,3,1,0.5,0.01,0.75,1,0.1,0.2,0.84,0.2,0,158,161,0,4,4,0,0,0,5.56332816345328E-05,2.78166408172664E-05,1.6784618500733E-05,0.16984651507559,0.6,10.19,0,93.73,87.83,0
10,4,3,0.5,0.01,0,10,1,4,3,1,0.5,0.01,0.75,1,0.1,0.2,0.24,0.2,0,0,5,0,0,0,0,0,0,6.28108805193058E-05,3.14054402596529E-05,1.89293918369009E-05,0.165802532393483,1,14.53,0,72.09,85.84,1
10,4,3,0.5,0.01,1,10,1,4,3,1,0.5,0.01,0.75,1,0.1,0.2,0.35,0.2,0,80,84,0,2,2,0,0,0,2.08860169409833E-05,1.04430084704916E-05,8.32244375278196E-06,0.173220434871293,0.8,11.87,0,70.71,89.82,0
10,4,3,0.5,0.01,0,10,1,4,3,1,0.5,0.01,0.75,1,0.1,0.2,0.15,0.2,0,0,5,0,0,0,0,0,0,5.62240726949456E-05,2.81120363474728E-05,1.70307276597853E-05,0.170892245040155,1,14.41,0,65.29,87.16,0
10,4,3,0.5,0.01,1,10,1,4,3,1,0.5,0.01,0.75,1,0.1,0.2,0.81,0.2,0,81,85,0,2,2,0,0,0,6.56383912548354E-05,3.28191956274177E-05,2.23188578236801E-05,0.168435868710529,0.8,12.1,0,72.54,89.16,0
10,4,3,0.5,0.01,0,10,1,4,3,1,0.5,0.01,0.75,1,0.1,0.2,0.12,0.2,0,84,169,84,8,8,0,84,84,6.91401122357922E-05,3.45700561178961E-05,2.09357875009291E-05,0.167811941725187,0.4,7.64,0,150.77,85.67,0
