Rank 1,Rank 2,Rank 3
6.72E-11,1.44E-09,1.78E-05
2.02E-09,3.63E-08,0.000219
2.97E-08,4E-07,0.00131
3E-07,3.6E-06,0.0051359
2E-06,2.15E-05,0.0147656
1.11E-05,9.95E-05,0.0332226
4.98E-05,0.0003757,0.0609081
0.0001875,0.001189,0.0935375
0.0006032,0.0032158,0.1227679
0.0016843,0.0075468,0.139819
0.0041292,0.015551,0.139819
0.0089729,0.0284031,0.1239305
0.0174151,0.0463344,0.0981116
0.0303792,0.0679355,0.0698102
0.0478788,0.0899925,0.044878
0.0684718,0.1081728,0.0261788
0.0891791,0.1184165,0.0139075
0.1061011,0.1184165,0.0067492
0.1156083,0.1084488,0.0029997
0.1156083,0.0911523,0.0012235
0.1062851,0.0704359,0.0004588
0.0899587,0.0501081,0.0001584
0.070173,0.0328532,5.04E-05
0.0504892,0.0198678,1.48E-05
0.0335237,0.0110878,4E-06
0.0205468,0.0057119,1E-06
0.0116245,0.0027162,2E-07
0.0060692,0.0011919,4.92E-08
0.0029227,0.0004825,9.67E-09
0.0012972,0.00018,1.75E-09
0.00053,6.18E-05,2.92E-10
0.0001991,1.95E-05,4.47E-11
6.86E-05,5.7E-06,6.29E-12
2.17E-05,1.5E-06,8.1E-13
6.3E-06,4E-07,9.52E-14
1.6E-06,8.03E-08,1.02E-14
4E-07,1.61E-08,9.92E-16
8.43E-08,2.91E-09,8.71E-17
1.63E-08,4.74E-10,6.88E-18
2.82E-09,6.89E-11,4.85E-19
4.32E-10,8.87E-12,3.03E-20
5.81E-11,1.00E-12,1.66E-21
6.79E-12,9.84E-14,7.92E-23
6.77E-13,8.25E-15,3.22E-24
5.66E-14,5.80E-16,1.1E-25
3.85E-15,3.32E-17,3.05E-27
2.05E-16,1.49E-18,6.64E-29
8.04E-18,4.89E-20,1.06E-30
2.05E-19,1.05E-21,1.1E-32
2.57E-21,1.10E-23,5.63E-35
