DWA failed_1,PofMS_1,DWA failed_2,PofMS_2,DWA failed_3,PofMS_3
1,0.0119096,8,0.0467269,15,0.0558435
2,0.0087971,9,0.0415009,16,0.0582065
3,0.0063135,10,0.0359614,17,0.0593707
4,0.0043991,11,0.0303866,18,0.059239
5,0.0029736,12,0.0250242,19,0.055
6,0.0019484,13,0.0200738,20,0.055118
7,0.0012365,14,0.0156758,21,0.0513545
1,0.004196,8,0.036,15,0.05
2,0.010229,9,0.032877,16,0.05
3,0.010871,10,0.025,17,0.04445
4,0.011052,11,0.035,18,0.04933
5,0.007456,12,0.030529,19,0.058178
6,0.006801,13,0.032718,20,0.056213
7,0.002175,14,0.037016,21,0.040353
1,0.015,8,0.041,15,0.047019
2,0.008813,9,0.043618,16,0.04542
3,0.010502,10,0.043012,17,0.055
4,0.001495,11,0.041501,18,0.042948
5,0.007971,12,0.033567,19,0.047911
6,0.011226,13,0.035873,20,0.043264
7,0.008095,14,0.034343,21,0.047186
1,0.035,8,0.0324,15,0.044987
2,0.015,9,0.026,16,0.056498
3,0.013783,10,0.02,17,0.046
4,0.008179,11,0.025,18,0.053415
5,0.014,12,0.015742,19,0.050342
6,0.018,13,0.015994,20,0.053108
7,0.006936,14,0.01233,21,0.052412
1,0.023716,8,0.019258,15,0.04
2,0.020413,9,0.027725,16,0.038
3,0.015075,10,0.028396,17,0.041
4,0.018,11,0.025765,18,0.0355
5,0.019,12,0.029354,19,0.039874
6,0.016,13,0.026606,20,0.031844
7,0.010219,14,0.026137,21,0.032097
10,0.01,5,0.03,13,0.055
9,0.014,6,0.05,14,0.045
8,0.0085,5,0.042,12,0.051
3,0.025,7,0.03,16,0.03
4,0.023,6,0.025,17,0.028
