Path,ACE,Ql,Qu
"['Battery_percentage', 'DWA_failed', 'Occdist_scale']",432.6076788200718,580.8964590689587,293.05639349842636
"['Battery_percentage', 'Traveled_distance', 'RNS', 'Error_rotating_goal', 'DWA_new_plan', 'DWA_failed', 'Occdist_scale']",432.6076788200718,544.4125503748595,353.74601678490603
"['Battery_percentage', 'Mission_time', 'Traveled_distance', 'RNS', 'recovery_executed', 'DWA_new_plan', 'DWA_failed', 'Occdist_scale']",432.6076788200718,455.15828432845086,335.2055584163092
"['Battery_percentage', 'RNS', 'recovery_executed', 'DWA_new_plan', 'DWA_failed', 'Occdist_scale']",432.6076788200718,632.1578286306516,342.1823683637738
"['Battery_percentage', 'RNS', 'recovery_executed', 'DWA_new_plan', 'Occdist_scale']",432.6076788200718,525.531597342125,258.88480243928063
"['Battery_percentage', 'RNS', 'recovery_executed', 'Occdist_scale']",432.6076788200718,484.59782077371534,353.52333254520516
"['Battery_percentage', 'Mission_time', 'Traveled_distance', 'RNS', 'DWA_failed', 'Occdist_scale']",432.6076788200718,559.042018070023,430.6812520415648
"['Battery_percentage', 'Traveled_distance', 'DWA_failed', 'Occdist_scale']",432.6076788200718,619.995046306137,260.1977227210208
"['Battery_percentage', 'Traveled_distance', 'RNS', 'Error_rotating_goal', 'DWA_new_plan', 'Occdist_scale']",432.6076788200718,460.5431082085896,365.7081797958452
"['Battery_percentage', 'Mission_time', 'Traveled_distance', 'RNS', 'recovery_executed', 'Occdist_scale']",432.6076788200718,497.99901503397234,354.110938315131
"['Battery_percentage', 'Traveled_distance', 'RNS', 'DWA_failed', 'Occdist_scale']",432.6076788200718,471.82417807349213,326.20142795630824
"['Battery_percentage', 'Traveled_distance', 'RNS', 'recovery_executed', 'DWA_new_plan', 'DWA_failed', 'Occdist_scale']",432.6076788200718,560.2923011594602,456.8517865874485
"['Battery_percentage', 'Traveled_distance', 'RNS', 'recovery_executed', 'DWA_new_plan', 'Occdist_scale']",432.6076788200718,459.65582866243034,215.62864802180923
